frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
10,632.5983,643.7233,621.5695,664.5071,602.0737,700.5416,573.6256,729.0504,551.1722,684.28076,582.2899,679.17236,593.0609,696.4088,578.7229,693.04114,596.1258,383.48383,372.4214,372.28735,354.99573,354.38165,373.6983,372.24048,456.58905,453.20874,463.51373,460.67493,494.4182,494.1001,507.38678,506.9671,500.88434,500.51904,0.9149479,0.9163859,0.8726025,0.5705986,0.42032987,0.93482274,0.8823039,0.81863356,0.5802491,0.6365056,0.41745472,0.44348118,0.36246133,0.020572484,0.013840139,0.004679233,0.0034501255
11,632.767,643.8274,622.2077,664.71124,603.37866,700.91785,574.5932,729.20197,552.25464,685.0534,582.8462,679.2534,593.4555,696.5471,578.2154,693.5976,594.30164,382.9218,372.15082,371.84833,355.07294,354.0019,373.636,372.03552,456.80762,453.76843,463.63147,460.83105,495.17212,494.7885,507.17285,506.86853,500.97083,500.90466,0.9107924,0.91361195,0.8625095,0.57069695,0.39355305,0.93225586,0.87605727,0.8164716,0.5695624,0.63262653,0.4078037,0.4366578,0.3543935,0.020208597,0.013496578,0.0046337545,0.0034011006
12,633.1096,642.9318,623.8527,662.44086,606.8083,699.8615,577.1404,729.035,555.87555,684.7831,585.1665,677.4885,594.3607,691.90173,577.84076,688.34564,591.1278,378.716,369.16687,368.8678,353.8828,352.83197,372.54382,370.52478,457.0608,452.86664,463.33032,458.86725,494.6554,493.83813,504.11877,503.64435,501.263,500.71198,0.8769778,0.8821238,0.80353546,0.52864546,0.31653243,0.91818935,0.8428334,0.8090605,0.52676815,0.62289083,0.37543875,0.42326808,0.33429635,0.021302104,0.013638318,0.0051104724,0.003635645
13,632.2488,642.45123,622.89,662.55035,605.6971,699.80304,575.9141,729.0254,555.19507,685.0357,586.16675,677.8136,593.72003,693.9085,578.0748,690.5929,591.4771,379.61963,369.92365,369.47888,354.485,353.02966,373.13098,371.03723,457.57092,453.73993,463.8283,458.8966,495.5177,494.8402,505.03156,504.79498,500.6906,500.5537,0.8821735,0.8871958,0.8115804,0.5351859,0.3225445,0.918728,0.8451537,0.8046175,0.52486867,0.61643463,0.37304524,0.41634881,0.32941914,0.020444423,0.013251841,0.0049220026,0.0035361648
14,632.4938,642.43933,623.2366,662.3263,606.33185,699.91516,576.8241,729.28705,555.5343,686.75995,586.05786,677.56824,594.15765,692.8579,578.2443,689.62823,591.55176,379.12408,369.5243,369.17737,354.2013,352.9696,373.02203,370.66205,457.79138,452.50104,463.47736,455.5429,494.98505,494.1255,504.00476,503.6043,500.20276,499.88745,0.8774048,0.88229495,0.80337936,0.5277776,0.3127265,0.91535485,0.84070253,0.79950666,0.52198863,0.61246616,0.373568,0.41562665,0.33031136,0.021209985,0.013838828,0.0052053034,0.0037566721
15,631.81604,640.9663,623.42865,660.984,608.7508,701.1444,580.1945,731.3714,558.0424,686.2296,586.0523,678.7921,597.66003,686.7265,579.7311,680.87805,593.58966,375.89374,366.85834,366.80835,352.8136,352.33038,372.7292,370.51727,458.58582,452.04388,463.70642,453.92938,494.94403,493.67236,499.51526,498.74792,498.70276,498.06158,0.8660479,0.8755003,0.7657436,0.54963344,0.26034898,0.91035044,0.8320539,0.78999496,0.51056135,0.60115594,0.36687434,0.40245572,0.32101068,0.02187419,0.014330685,0.005563557,0.0040325224
16,632.0627,641.2684,623.563,661.3103,608.6729,701.11743,580.0508,730.8907,558.14795,685.48535,587.10535,679.1119,597.7367,688.1888,579.78796,682.5889,593.3675,375.78998,366.72937,366.69336,352.70142,352.2693,372.65344,370.36865,458.05652,451.81775,462.5985,455.10962,494.48462,493.19934,500.25238,499.31787,499.656,498.60693,0.86707234,0.87577724,0.77012515,0.5485539,0.26797,0.9126688,0.8372055,0.7942687,0.52113897,0.6056296,0.3735569,0.41162717,0.33010045,0.022095531,0.014561713,0.0055060983,0.0040102005
17,632.5299,642.542,623.0885,662.56464,606.03143,700.2536,576.57227,729.5834,555.7306,686.28455,587.7294,679.07214,595.2571,694.797,579.5958,690.82764,592.75696,378.5525,368.94476,368.6485,354.08173,352.97296,373.57367,371.4342,458.48407,454.15833,462.3562,457.18848,496.18707,495.50372,503.86926,503.56494,500.04382,499.63458,0.88092744,0.88408226,0.8123292,0.52747893,0.33069512,0.91775197,0.8490119,0.798019,0.5342005,0.60845137,0.3796983,0.4124505,0.33084902,0.020440936,0.01359567,0.0049854517,0.0036545396
18,630.7974,639.697,622.98065,660.37665,609.7994,701.9451,581.7394,732.79913,559.62494,687.2663,588.0855,679.254,599.0315,684.4786,580.666,677.3591,595.0291,375.54932,366.80078,366.7528,352.9552,352.45154,372.9027,370.03693,459.5869,452.49658,462.849,456.6117,495.59888,493.81097,498.20764,496.70013,499.2257,497.52222,0.85459566,0.86894584,0.7356018,0.56041795,0.22726616,0.90297735,0.81885314,0.7746997,0.49085063,0.57912546,0.3480727,0.38224694,0.30427313,0.020985872,0.013864756,0.005502373,0.0040211678
19,627.32715,628.6498,627.96936,638.7464,640.4567,659.89606,652.4967,680.9708,671.8929,668.91907,667.7719,647.32556,644.97266,621.1558,631.4067,610.2662,636.4113,371.86005,364.45593,364.77545,351.43494,351.92194,370.2608,370.05554,455.47217,454.6189,459.68884,464.34375,492.39813,488.8556,484.1659,479.99805,493.601,490.25903,0.5891145,0.5586346,0.22333187,0.70511997,0.12035361,0.8875923,0.8000431,0.67946917,0.4534286,0.46548477,0.32052916,0.32460368,0.2759006,0.025366694,0.019641668,0.007016033,0.0058941543
