frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
10,627.14246,629.6116,619.5762,643.7869,609.71893,696.88763,598.3561,798.12604,638.32697,685.8375,670.68445,716.5329,651.95996,707.50995,663.8283,705.55994,723.5143,421.22882,412.4707,416.06604,388.40613,399.87512,373.88702,379.10034,434.661,427.37305,436.92987,433.59973,412.10107,411.9181,427.2954,422.10205,455.4494,436.3828,0.2765796,0.48790824,0.097798645,0.41992238,0.029266149,0.7372626,0.11600715,0.94079983,0.07105696,0.91470945,0.16882417,0.32026115,0.088462085,0.0672594,0.012541711,0.019688487,0.0056432486
11,625.0031,628.47205,616.92224,644.28046,605.78766,698.0617,590.85516,798.32117,622.40656,685.1123,656.62885,714.2623,644.32477,701.52435,653.37225,697.1831,715.2516,422.82062,413.8922,417.28094,389.54803,400.46393,374.651,378.5351,435.41534,426.73718,438.00177,436.8568,412.34106,411.69977,426.7525,421.11847,454.48218,435.01855,0.27685207,0.5019119,0.1060203,0.4157356,0.030551285,0.72269726,0.11156848,0.9351616,0.06688836,0.9041258,0.15337244,0.30439523,0.083809644,0.062398285,0.011460543,0.019062161,0.0053889453
12,626.87115,630.42474,619.1741,644.5343,606.9024,695.7858,589.15924,798.62634,626.5954,685.06836,665.0828,712.37006,642.5158,702.9667,655.8399,697.8486,716.92065,420.15753,411.89227,414.67706,389.2481,398.6046,373.8626,377.8164,434.91364,428.2768,436.75,436.75238,410.63696,410.57147,422.54266,417.84253,451.58398,432.97345,0.24780601,0.43882486,0.09995589,0.35803777,0.03293088,0.69889385,0.105826914,0.927949,0.065953195,0.89696753,0.1511566,0.2955167,0.08194852,0.065721095,0.012523055,0.021475464,0.0062254965
13,628.2723,631.683,620.9555,644.8518,608.9331,694.4752,591.3274,798.10565,631.7705,685.0026,667.3364,711.84973,644.1573,706.6678,661.483,702.7126,722.0286,419.33923,411.3993,413.9356,389.411,398.19403,374.0349,377.93884,434.16327,427.74573,436.78558,437.0735,408.51825,408.59912,418.30206,413.72852,445.83948,427.17273,0.25696808,0.44457704,0.10199049,0.3647117,0.033587784,0.7166975,0.111209154,0.9346107,0.069209546,0.90716875,0.16105181,0.30990285,0.08556047,0.07188785,0.013682306,0.02392134,0.0069161057
14,628.9774,632.3667,622.0977,645.67505,610.98914,695.27454,592.65125,798.0762,629.71497,687.2726,663.49585,712.8478,645.6901,705.6499,660.65454,701.85345,720.8149,420.49304,412.96008,415.2423,391.56232,399.59888,376.09882,378.64813,433.59357,425.54602,436.805,438.26807,405.08667,404.5816,418.9248,413.65186,443.62585,424.18646,0.27213502,0.47028592,0.10848084,0.38837606,0.0347673,0.72973275,0.12272462,0.9350096,0.07474592,0.90798116,0.17021689,0.33788905,0.098531544,0.08335546,0.016347736,0.028048545,0.008256942
15,625.7503,629.26794,619.05786,644.12256,609.8535,695.79443,594.01404,798.0132,627.9042,688.70953,654.45087,717.0143,650.5729,704.7929,660.50397,702.0041,720.6946,420.4359,413.0241,415.27405,392.24463,400.2287,377.83832,378.734,434.47668,422.8863,438.2102,439.64746,404.85754,403.29028,416.2268,409.42084,441.1626,419.48773,0.30610344,0.53088623,0.11826983,0.44284573,0.03374815,0.7475276,0.1354307,0.9362095,0.078198105,0.90796804,0.17475632,0.34691125,0.10402399,0.08908802,0.017610162,0.031269073,0.009256154
16,623.4745,627.3306,616.6579,643.6167,608.1146,696.5309,593.2156,798.634,626.16455,687.9078,653.3771,718.5654,651.0596,704.8789,659.565,702.3953,720.51715,421.51068,413.81305,416.20447,392.6894,401.00513,378.6079,379.71002,435.28137,423.94666,437.8275,439.09558,408.34045,406.7428,422.23987,415.41644,448.38416,426.8423,0.33620265,0.5729447,0.128265,0.47830838,0.033815503,0.76321995,0.14544812,0.93866515,0.081543595,0.909714,0.17900041,0.34556478,0.10417944,0.07885963,0.015536517,0.025145918,0.007455826
17,623.46857,626.74176,617.17505,642.528,610.2493,695.8848,598.5017,797.9563,636.8454,683.8064,659.9148,722.99054,659.0127,706.1658,663.39307,705.8706,723.3573,420.1482,412.6303,415.1151,391.80396,400.3745,378.21887,379.41742,436.07104,423.80872,438.65723,438.9049,409.67218,407.7243,423.9829,416.4911,449.62488,426.8612,0.3384785,0.5785713,0.11523783,0.50543344,0.029620051,0.7791414,0.15059847,0.9459628,0.08575666,0.92076975,0.1937972,0.36547536,0.11088127,0.085198164,0.016499192,0.026090294,0.0076527596
18,624.1254,627.08636,618.3104,641.9755,611.8881,694.1105,600.7999,797.69165,646.3063,681.10565,670.9068,719.7734,658.0502,707.7696,666.5247,707.6026,724.4873,419.7976,412.44592,414.89917,391.82227,400.39093,377.72333,380.17615,435.5786,425.62744,439.62885,438.30865,408.51257,407.1125,420.39178,413.83295,445.24127,423.89337,0.32963866,0.55074745,0.10960516,0.49033862,0.030093372,0.7826938,0.15215632,0.9474281,0.0890418,0.9247598,0.20435113,0.36656174,0.11097586,0.0879952,0.01749149,0.027054548,0.008092254
19,625.6939,628.3763,620.0592,641.9906,613.3597,692.657,602.3514,796.9242,650.4033,681.141,671.8862,716.7099,656.9239,707.33984,667.7683,707.314,723.7841,417.6137,410.4884,412.85864,390.39624,398.82642,376.61926,379.59247,435.35968,426.46313,439.04114,438.0315,409.19147,408.02173,419.00006,412.85724,444.39697,423.63715,0.31576413,0.5202498,0.106156856,0.46010152,0.030484319,0.77908385,0.15224254,0.94696355,0.091986805,0.92512345,0.20974782,0.37509686,0.11538398,0.095125735,0.019381613,0.030241102,0.00917694
