frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
10,632.86456,645.53094,616.9006,662.2307,595.4668,687.49426,566.5208,720.0258,498.30957,619.48676,485.0946,639.431,562.8452,610.9497,535.4012,642.19025,587.3036,336.05768,322.22253,324.80127,330.72473,336.84558,430.135,394.19843,518.301,353.049,530.13635,246.67084,606.3636,594.0729,603.05695,620.09174,595.3227,638.3814,0.98780715,0.95991004,0.97134316,0.7026459,0.7725885,0.9716678,0.9934008,0.8854654,0.98077035,0.916821,0.9801517,0.672715,0.7960395,0.032653928,0.06143734,0.00236848,0.003777653
11,632.5115,645.3076,616.48895,662.3252,595.1878,687.7399,566.46265,719.7505,498.24945,619.84796,485.1564,639.88055,562.949,611.5471,535.08344,643.3812,587.5922,335.6773,321.84772,324.46185,330.65955,336.84033,430.4862,394.2107,518.46716,352.11707,529.9877,245.91583,606.8331,594.46796,601.1817,618.19867,593.11005,636.248,0.9879389,0.9608543,0.9711207,0.7081908,0.7678807,0.9718556,0.99325514,0.88667864,0.9802172,0.91757566,0.9797358,0.6686742,0.79085356,0.03215322,0.059735775,0.0023447275,0.003707379
12,632.0335,644.9807,616.04,662.3463,595.0043,687.72,566.4372,719.68427,498.2525,618.6134,484.9796,640.12195,563.1768,611.57874,535.61005,644.319,588.4308,334.9937,321.23602,323.83325,330.41125,336.53412,430.45062,394.13367,518.4941,351.8059,529.659,245.71484,606.96906,594.6499,600.9531,618.29297,592.1975,636.0313,0.98805624,0.96147907,0.971012,0.7132546,0.7643008,0.97175455,0.99330366,0.8865149,0.98033834,0.9179556,0.9798914,0.665571,0.7893504,0.031275243,0.05841425,0.0022625625,0.0035939217
13,631.74475,644.81555,615.76074,662.3828,594.76935,687.7356,566.06506,719.99243,498.43616,618.2891,484.71738,639.60956,562.3159,611.84375,535.2389,644.5947,587.9804,334.62805,320.89807,323.4619,330.1748,336.1797,430.04834,393.62085,518.2886,351.19604,529.53595,244.86865,606.5767,594.22205,600.90216,618.3654,591.7169,635.9024,0.988144,0.961962,0.97104913,0.716469,0.7629279,0.9719927,0.9933243,0.8874209,0.98031014,0.9183266,0.9798039,0.6696571,0.7918067,0.031790555,0.059194237,0.002297461,0.0036436915
14,631.58856,644.69257,615.5884,662.4159,594.7181,687.8929,566.1422,720.26654,498.37988,619.3702,484.5873,640.3832,563.09064,612.31384,535.9319,644.9766,589.1112,334.48248,320.6372,323.2492,329.78156,335.8772,430.1156,393.7036,518.33826,350.96094,529.7627,244.69977,607.53345,595.27563,602.21136,619.95447,592.1649,636.8484,0.98816115,0.96198523,0.9710147,0.71708727,0.7619041,0.971796,0.99336123,0.88658935,0.9804873,0.91796505,0.9799749,0.66583306,0.79011226,0.030645609,0.057549447,0.002194047,0.0035009086
15,631.7189,644.88153,615.743,662.50183,594.7153,687.7703,565.8185,720.38416,498.14096,619.9325,484.44803,639.8434,562.6412,611.5733,536.0516,643.31226,589.6307,334.32172,320.48303,322.9427,329.5473,335.28906,429.9829,393.18884,518.1204,350.56116,530.31464,245.29279,606.7539,594.3109,601.81134,619.19934,592.12646,636.5788,0.98810697,0.96177715,0.97110415,0.7158144,0.7640767,0.971665,0.9932845,0.8848747,0.9800757,0.91628635,0.97950304,0.65963024,0.7851256,0.02995658,0.05620268,0.002154529,0.00343135
16,631.9068,645.04224,615.8329,662.6219,594.61646,687.75073,565.6032,720.1398,498.14932,619.32794,484.4457,639.4557,562.117,612.3474,536.2344,643.505,589.7911,334.2608,320.2484,322.82,329.00488,334.9696,429.49,392.8084,517.63165,350.00897,529.6244,245.07251,606.0004,593.69867,601.6952,619.41034,592.9528,638.0323,0.9881648,0.9619591,0.9713328,0.714913,0.7656659,0.97188073,0.9931988,0.8854334,0.979661,0.91648066,0.9791571,0.66257566,0.78553104,0.030734092,0.057080537,0.0022150576,0.0035005808
17,632.0694,645.2218,615.9602,662.71246,594.5596,687.4318,565.7262,719.6433,497.86127,618.9039,484.42816,640.0539,562.8971,612.76245,536.25244,644.68555,589.2146,334.21307,320.1253,322.61804,328.70667,334.51886,429.02905,392.59155,517.0995,350.27673,529.30023,244.84485,606.0394,593.8354,602.75885,620.38165,593.6564,638.23175,0.9882339,0.96180606,0.97162366,0.71157336,0.76778924,0.9718769,0.9932873,0.8866754,0.98023164,0.91803503,0.9798306,0.66558784,0.7886249,0.03066054,0.057188988,0.0021835268,0.0034618974
18,633.09595,645.85657,617.553,661.31445,594.5369,687.64813,563.9092,716.55707,502.28882,620.9281,488.61578,632.9281,552.8302,602.98083,520.183,626.3395,568.6289,334.07397,320.14642,322.44647,329.79327,334.4986,426.46832,387.85858,507.62683,347.89294,544.589,246.85962,595.9444,579.71436,572.6879,582.2139,565.96265,595.83044,0.9862311,0.96425366,0.97130597,0.72332156,0.76133525,0.97235,0.98561114,0.87795484,0.95014274,0.8901088,0.9548659,0.63459367,0.70728886,0.04326409,0.05926478,0.004586339,0.005657226
19,632.864,645.59485,617.44104,661.1312,594.729,687.4789,564.2097,716.16785,502.13022,620.8985,488.4552,632.7323,553.1265,601.5773,520.02435,624.4593,568.53516,333.89636,319.99133,322.30804,329.59094,334.31024,426.45337,387.71564,507.44873,347.1991,545.0488,246.45209,595.8799,579.56555,573.40985,582.93524,567.6032,597.48975,0.9862217,0.9643395,0.9712236,0.72568107,0.76066273,0.9724461,0.98579884,0.8771179,0.95046544,0.88898563,0.95481145,0.63803923,0.7116653,0.0443663,0.06106624,0.0047141016,0.0058387816
20,632.4435,645.27527,617.109,661.0293,594.5917,687.36053,564.24414,715.8761,501.85666,620.81006,488.27594,633.3125,553.77515,602.25946,520.32904,626.0641,569.4002,333.88666,319.92242,322.15173,329.42755,333.9474,426.44843,387.8534,507.23657,347.83704,544.58154,246.85944,596.5492,580.26575,574.55316,583.78064,569.06415,598.31903,0.98640263,0.9650737,0.9713451,0.72977525,0.7585078,0.9725847,0.9857814,0.877918,0.9502914,0.89020604,0.95495373,0.6385075,0.71138513,0.044290602,0.060798556,0.004677713,0.005790442
21,632.29767,645.0934,616.9838,660.8659,594.5935,687.4182,564.22687,715.72675,501.7582,620.4162,487.99115,633.0379,553.5385,601.348,519.48206,624.5666,568.9095,333.78027,319.78345,322.04736,329.23547,333.85693,426.31787,387.76654,507.19836,347.904,544.52344,247.47028,595.58484,579.23944,572.261,581.4107,566.8697,596.132,0.9862994,0.965003,0.97106206,0.73160326,0.75706565,0.97245437,0.9857327,0.8766375,0.94978374,0.8888629,0.95432204,0.63335806,0.7071897,0.043850064,0.0602282,0.0046812296,0.005797386
22,632.2282,645.0496,616.93713,660.71674,594.4162,687.2526,563.66876,716.0112,501.70386,620.5639,487.81714,632.9162,553.1913,602.15735,520.025,624.8129,569.47754,333.735,319.73364,321.89453,329.1756,333.55157,426.32947,387.71246,507.41034,348.3871,544.4502,247.76721,595.58887,579.2803,572.9181,582.0977,567.4872,596.96436,0.9863572,0.965202,0.97122145,0.73228645,0.7582519,0.9727807,0.98567283,0.8773574,0.9490436,0.88886833,0.9536674,0.63597095,0.70771927,0.044525832,0.060723424,0.004756719,0.0058605373
23,632.0316,644.8423,616.6894,660.67676,594.28455,687.3389,563.6975,715.8955,501.57938,620.7353,487.52472,633.1196,553.2174,602.69775,519.995,625.8549,569.0654,333.43964,319.45374,321.72003,328.99286,333.61835,426.10724,387.6704,507.2677,348.36035,544.3195,247.98383,596.04846,579.8566,574.6855,584.1055,568.5986,598.30975,0.9864419,0.96550584,0.9713448,0.73358107,0.75787437,0.97274345,0.985661,0.87765205,0.94918716,0.889012,0.95373046,0.63743347,0.7090304,0.04397592,0.06001067,0.0046506226,0.005733758
