frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
10,634.75305,646.3519,620.89166,664.6604,603.91327,691.89404,576.3401,752.05774,508.3747,680.41626,588.9757,661.0603,585.31226,661.78595,574.10144,691.2284,586.45935,330.13196,318.17236,318.2013,324.68066,327.3853,382.99847,383.5537,331.99,328.01385,306.32257,300.8714,562.5085,562.9847,611.25836,615.3434,622.1986,627.0957,0.98578966,0.9674365,0.9657265,0.78374124,0.71453387,0.9651313,0.9846358,0.8964747,0.96207607,0.9429245,0.9701852,0.7896248,0.83599627,0.054347754,0.07652685,0.0036989748,0.0049971044
11,634.6514,646.31134,620.7728,664.7663,603.8407,692.16455,576.22125,752.0187,508.4689,680.3161,589.4283,661.17535,585.1014,661.9695,573.7232,690.87683,586.0573,329.98853,317.99347,318.03485,324.5067,327.22394,382.65186,383.22003,331.60406,327.67828,306.14514,300.63715,562.14465,562.5879,610.85364,614.7986,622.2852,626.89355,0.9857857,0.9678011,0.9654476,0.7868108,0.7116636,0.9654759,0.98442626,0.8972487,0.9611491,0.9429039,0.96944296,0.79173106,0.8361486,0.0555934,0.07738572,0.003807664,0.0051047206
12,634.56445,646.4141,620.7193,665.0508,603.7656,692.077,575.8367,751.7466,508.5868,680.2481,589.60645,660.3936,584.1473,660.8256,572.6545,689.4851,584.99896,329.721,317.79822,317.69397,324.5885,326.91467,382.74182,382.84442,331.5127,327.08173,305.9937,300.65387,560.90265,561.126,611.3148,615.07446,622.11316,626.9,0.9858154,0.9678527,0.96548796,0.7876203,0.7122914,0.9658866,0.9845737,0.89812267,0.96133614,0.9432033,0.9694645,0.7961827,0.8395405,0.056995302,0.079102606,0.0038864017,0.0051986277
13,634.3689,646.2535,620.5004,665.0204,603.57983,691.9327,575.8405,751.79364,508.688,680.559,589.83563,660.651,584.431,661.2499,572.9947,690.50665,585.13666,329.46136,317.53296,317.43707,324.3432,326.67987,382.3316,382.5373,331.08386,326.75623,306.41132,300.72412,560.59564,560.9099,611.5473,615.47424,621.6509,626.54736,0.9858618,0.9681463,0.9653548,0.789347,0.7096577,0.96588504,0.98446095,0.89863586,0.9610609,0.94344306,0.9693143,0.79710984,0.8397192,0.056996435,0.078804314,0.0038777292,0.0051751733
14,634.2707,646.0565,620.3858,664.60974,603.3753,691.6748,575.5317,751.74817,508.5859,680.6425,589.97577,660.3212,584.17474,661.0345,573.10315,689.9319,585.4203,329.26715,317.33398,317.25024,324.1504,326.51636,382.40997,382.36145,331.38287,326.44293,306.3451,300.67773,559.6757,559.9096,611.1021,614.94867,621.2758,626.36115,0.9858372,0.9674623,0.9657341,0.7850284,0.7160053,0.9660598,0.9849869,0.8985848,0.9626888,0.94365644,0.9704366,0.7990781,0.84330976,0.057412446,0.080497324,0.003883481,0.00523299
15,633.7954,645.8293,620.15546,664.6959,603.4703,691.4051,575.35443,751.51337,508.56348,679.95056,589.6107,660.26556,584.12476,661.11206,573.4958,690.45105,585.55023,329.16656,317.4596,317.10266,324.64044,326.31964,382.3988,382.12653,330.94568,326.35205,306.41132,300.78772,559.6621,559.79285,612.60596,616.2499,622.3481,627.25653,0.9859234,0.96827114,0.96529377,0.79214454,0.7095829,0.9667279,0.98493147,0.9009212,0.9621588,0.9445047,0.9699938,0.8048563,0.8463162,0.059123635,0.08186886,0.0039748847,0.005318433
16,633.63074,645.70984,620.052,664.71014,603.5803,691.3648,575.4605,751.2584,508.7969,680.0044,589.9498,660.31177,584.21466,660.97437,573.4062,690.4108,585.66003,328.86884,317.18097,316.82416,324.50714,326.17194,382.35254,382.15295,330.71637,326.18768,306.50195,300.6194,559.952,560.1472,612.0903,615.9498,621.33075,626.45935,0.98590046,0.9685687,0.9649019,0.79501116,0.7051426,0.966581,0.98463035,0.900826,0.9612538,0.9443878,0.96938384,0.80174375,0.84275526,0.057966888,0.07974586,0.0039081573,0.005204588
17,633.561,645.74927,619.9191,664.9243,603.43225,691.5709,575.30927,750.83936,508.58243,679.94165,589.4822,660.7414,584.4131,661.2342,573.94446,690.0784,586.23035,328.63245,316.99188,316.61133,324.5932,326.1903,382.29395,382.0689,330.45892,326.1023,306.29706,300.71533,559.4929,559.6824,611.9319,615.6625,620.4651,625.2816,0.9858606,0.9686238,0.9647753,0.7953501,0.70459247,0.96640116,0.9844297,0.8998529,0.96044767,0.9434996,0.96868813,0.7994567,0.8404279,0.05721411,0.07846883,0.0038729012,0.0051454306
18,633.8119,645.82556,620.088,664.7247,603.43463,691.5225,575.42053,750.8657,508.70468,680.0601,589.7783,660.7796,584.6513,661.17377,574.6003,689.7907,587.02655,328.5542,316.87915,316.60376,324.29938,326.1798,382.018,382.01318,330.30145,326.2113,306.02014,300.72302,559.44977,559.74097,612.67834,616.5007,621.3358,626.12354,0.9858818,0.9679953,0.96521705,0.79045594,0.7113515,0.9668422,0.98494685,0.9011069,0.9621402,0.94434977,0.96992266,0.802928,0.8445375,0.057561934,0.07966277,0.0038461983,0.0051394105
19,633.90326,645.94556,620.1063,664.86914,603.33984,691.4904,575.2447,750.6789,508.58038,680.21436,590.1136,660.5085,584.48285,660.48004,574.95044,688.3361,588.2762,328.735,316.90442,316.67688,324.04962,326.01636,381.73767,381.76624,329.96265,325.85168,306.04504,300.8376,558.91364,559.26105,611.6095,615.56433,620.0891,625.1146,0.9858121,0.96787906,0.96510786,0.7899897,0.7113022,0.96675956,0.9848076,0.9002528,0.9614711,0.94382024,0.9694437,0.8003971,0.8420261,0.057377398,0.079182535,0.0038681328,0.0051546097
